Field_Name,Table
CIOCOMM,CIO
CIPCOMM,CIP
CIRCOMM,CIR
CISCOMM,CIS
CITCOMM,CIT
CIYCOMM,CIY
CMSCOMM,CMS
CRCCOMM,CRC
CUMESP01,CUQ
CUMESP02,CUQ
CUMESP03,CUQ
CUMESP04,CUQ
CUMESP05,CUQ
CUMESP06,CUQ
CUMESP07,CUQ
CUMESP08,CUQ
CUQCOMM,CUQ
SVASPNSR,SVA
SVAPRTIL,SVA
SVAPRTNO,NONE
SVASITE,NONE
SVASTNM,SVA
SVASPI,SVA
SVASSC,SVA
SVASIP,NONE
SVAOPSS,SVA
SVASPREP,NONE
SVAOTVIS,SVA
SVASTMON,NONE
SVAPREP,NONE
SVAAPRVE,NONE
SVAEXSUM,SVA
SVASIGOB,NONE
SVBSITE,SVB
SVBCNLAB,SVB
SVBIPHRM,SVB
SVBASTF,SVB
SVBASTRL,SVB
SVBBSTF,SVB
SVBBSTRL,SVB
SVBCSTF,SVB
SVBCSTRL,SVB
SVBDSTF,SVB
SVBDSTRL,SVB
SVBESTF,SVB
SVBESTRL,SVB
SVBFSTF,SVB
SVBFSTRL,SVB
SVBGSTF,SVB
SVBGSTRL,SVB
SVBHSTF,SVB
SVBHSTRL,SVB
SVBISTF,SVB
SVBISTRL,SVB
SVBJSTF,SVB
SVBJSTRL,SVB
SVBKSTF,SVB
SVBKSTRL,SVB
SVBLSTF,SVB
SVBLSTRL,SVB
SVBMSTF,SVB
SVBMSTRL,SVB
SVBNSTF,SVB
SVBNSTRL,SVB
SVBOSTF,SVB
SVBOSTRL,SVB
SVBLSNEW,SVB
SVBLSOLD,SVB
SVCRESP,SVC
SVDTER,SVD
SVDRWCON,SVD
SVDRWASS,NONE
SVDCSLT,SVD
SVESUB,NONE
SVEFORM,NONE
SVEKEY,NONE
SVGSBID,NONE
SVGDDES,NONE
SVGACT,NONE
SVGOSID,NONE
SVGODDS,NONE
SVGOACT,NONE
SVKFIELD,NONE
SVKFORM,NONE
SVKRESP,NONE
SVKACT,NONE
SVKTRAIN,NONE
D51COMM,D51
D54COMD1,D54
D54COMD2,D54
D54COMD3,D54
D54COMD4,D54
D54COMD5,D54
D54COMD6,D54
D54COMD7,D54
D54COMM,D54
DEPACISO,NONE
DEASIAOT,NONE
DERACESP,NONE
DEJOBSP,NONE
DEMCOMM,DEM
DRACOMM,DRA
DSMCOMM,DSM
DSSCOMM,DSS
DTLOCOSP,DTX
DTLOCASP,DTX
DTXCOMM,DTX
DXSCOMM,DXS
DTDCOM01,DXU
DTDCOM02,DXU
DTDCOM03,DXU
DTDCOM04,DXU
DTDCOM05,DXU
DTDCOM06,DXU
DTDCOM07,DXU
DTDCOM08,DXU
DTDCOM09,DXU
DTDCOM10,DXU
DTDCOM11,DXU
DTDCOM12,DXU
DTDCOM13,DXU
DTDCOM14,DXU
DTDCOM15,DXU
DXUCOMM,DXU
ECOTHSP,ECG
ECGCOMM,ECG
R1NCMOTH,ENR
R1OTHRSP,ENR
R1COMM,ENR
S1COMM,ENR
R4MDOTSP,ENR
R4EGOTSP,ENR
R4COMM,ENR
S3COMM,ENR
S2COMM,ENR
S2CST1OT,ENR
S2CST2OT,ENR
R2JGTSP,ENR
R2OTHRSP,ENR
R2COMM,ENR
R3JGOTSP,ENR
R3COMM,ENR
R3OTHRSP,NONE
S4COMM,ENR
S7COMM,ENR
S7OT1SP,ENR
S7OT2SP,ENR
R7JGOTSP,ENR
R7OTHRSP,ENR
R7COMM,ENR
R6COMM,ENR
R9COMM,ENR
R8COMM,ENR
S8COMM,ENR
EOSTOPSP,EOM
EOLDSRSP,EOM
EOMCOMM,EOM
EORSNSP,EOT
EOTCOMM,EOT
ETS1OTSP,ETG
ET01OTSP,ETG
ET04OTSP,ETG
ET08OTSP,ETG
ET12OTSP,ETG
ET16OTSP,ETG
ETGCOMM,ETG
FAPTPOB,FAM
FAPTANCS,FAM
FABMPOB,FAM
FABMANCS,FAM
FABFPOB,FAM
FABFANCS,FAM
FAMMPOB,FAM
FAMMANCS,FAM
FAMFPOB,FAM
FAMFANCS,FAM
FAPMPOB,FAM
FAPMANCS,FAM
FAPFPOB,FAM
FAPFANCS,FAM
FAMCOMM,FAM
FNDCOMM,FND
FOSRCESP,FOD
FODCOMM,FOD
FSUCOMM,NONE
GEGENID,GEN
GEALTID,GEN
GENCOMM,GEN
SNSECOND,NONE
COMMENT,GTM
ORIGVOL,NONE
RESVOL,NONE
LOCATION,NONE
SNORIG,NONE
ORIGSITE,NONE
SNPOOL,NONE
SNPRNT,NONE
BOXID,NONE
HAMSCORE,HAM
HAMCOMM,HAM
HCUCOMM,HCU
HIOSYST1,HIT
HIOSYSD1,HIT
HIOSYST2,HIT
HIOSYSD2,HIT
HIOSYST3,HIT
HIOSYSD3,HIT
HIOSYST4,HIT
HIOSYSD4,HIT
HIOSYST5,HIT
HIOSYSD5,HIT
HIOSYST6,HIT
HIOSYSD6,HIT
HIEHRNM,HIT
HIEHRVRS,HIT
HIEHRVSP,HIT
HIPSYNM,HIT
HIPSYVRS,HIT
HIPSYVND,HIT
HIPMGTNM,HIT
HIPMGTVR,HIT
HIPMGTVN,HIT
HIMHLTNM,HIT
HIRSNAME,HIT
HIRSOTH,HIT
HIPLCDES,HIT
HISENDSC,HIT
HINOPROV,HIT
HIVCOMM,HIV
HWSDUMMY,HWS
INETRT1,INA
INECOM1,INA
INETRT2,INA
INECOM2,INA
INETRT3,INA
INECOM3,INA
INETRT4,INA
INECOM4,INA
INETRT5,INA
INECOM5,INA
INETRT6,INA
INECOM6,INA
INETRT7,INA
INECOM7,INA
INETRT8,INA
INECOM8,INA
INETRT9,INA
INECOM9,INA
INETRT10,INA
INECOM10,INA
INETRT11,INA
INECOM11,INA
INETRT12,INA
INECOM12,INA
INACOMM,INA
INFCOMM,INF
INDIFRES,INJ
INADMNSP,INJ
INJCOMM,INJ
INTSEE,INS
INTTOUCH,INS
INTAUDIO,INS
INTOTHTC,INS
INCOMPB1,INS
INRECLB1,INS
INJUDGB1,INS
INRESPB1,INS
INOTHRB1,INS
INCOMPB2,INS
INRECLB2,INS
INJUDGB2,INS
INRESPB2,INS
INOTHRB2,INS
INCOMPB3,INS
INRECLB3,INS
INJUDGB3,INS
INRESPB3,INS
INOTHRB3,INS
INCOMPB4,INS
INRECLB4,INS
INJUDGB4,INS
INRESPB4,INS
INOTHRB4,INS
INCOMPC1,INS
INCOMPC2,INS
INCOMPC3,INS
INCOMPC4,INS
INCOMPC5,INS
INCOMPC7,INS
INCOMPC6,INS
INCOMPC8,INS
INRECLC1,INS
INRECLC2,INS
INRECLC3,INS
INRECLC4,INS
INRECLC5,INS
INRECLC6,INS
INRECLC7,INS
INRECLC8,INS
INJUDGC1,INS
INJUDGC2,INS
INJUDGC3,INS
INJUDGC4,INS
INJUDGC5,INS
INJUDGC6,INS
INJUDGC7,INS
INJUDGC8,INS
